filename,has_roots,original_image,patch_number,root_percentage
0000_0.png,0,0000.png,0,0.0
0000_1.png,0,0000.png,1,0.0
0000_2.png,0,0000.png,2,0.0
0000_3.png,0,0000.png,3,0.0
0000_4.png,0,0000.png,4,0.0
0000_5.png,0,0000.png,5,0.0
0000_6.png,0,0000.png,6,0.0
0000_7.png,0,0000.png,7,0.0
0000_8.png,0,0000.png,8,0.0
0000_9.png,0,0000.png,9,0.0
0000_10.png,0,0000.png,10,0.0
0000_11.png,0,0000.png,11,0.0
0000_12.png,0,0000.png,12,0.0
0000_13.png,0,0000.png,13,0.0
0000_14.png,0,0000.png,14,0.0
0000_15.png,0,0000.png,15,0.0
0000_16.png,0,0000.png,16,0.0
0000_17.png,0,0000.png,17,0.0
0000_18.png,0,0000.png,18,0.0
0000_19.png,0,0000.png,19,0.0
0000_20.png,0,0000.png,20,0.0
0000_21.png,0,0000.png,21,0.0
0000_22.png,1,0000.png,22,0.555419921875
0000_23.png,1,0000.png,23,3.70941162109375
0000_24.png,1,0000.png,24,4.12750244140625
0000_25.png,1,0000.png,25,5.01251220703125
0000_26.png,0,0000.png,26,0.0
0000_27.png,1,0000.png,27,1.34124755859375
0000_28.png,1,0000.png,28,5.21392822265625
0000_29.png,1,0000.png,29,2.57568359375
0000_30.png,1,0000.png,30,1.93023681640625
0000_31.png,1,0000.png,31,4.8004150390625
0000_32.png,1,0000.png,32,0.0091552734375
0000_33.png,1,0000.png,33,0.9765625
0000_34.png,1,0000.png,34,5.340576171875
0000_35.png,1,0000.png,35,10.4766845703125
0000_36.png,1,0000.png,36,3.06243896484375
0000_37.png,1,0000.png,37,1.2359619140625
0000_38.png,1,0000.png,38,7.43560791015625
0000_39.png,1,0000.png,39,4.21600341796875
0000_40.png,1,0000.png,40,19.41986083984375
0000_41.png,1,0000.png,41,1.50146484375
0000_42.png,1,0000.png,42,6.268310546875
0000_43.png,1,0000.png,43,0.74462890625
0000_44.png,1,0000.png,44,2.83660888671875
0000_45.png,1,0000.png,45,3.87115478515625
0000_46.png,1,0000.png,46,16.34368896484375
0000_47.png,1,0000.png,47,7.43408203125
0000_48.png,1,0000.png,48,7.57904052734375
0000_49.png,1,0000.png,49,3.912353515625
0000_50.png,1,0000.png,50,8.1298828125
0000_51.png,1,0000.png,51,13.09661865234375
0000_52.png,1,0000.png,52,5.487060546875
0000_53.png,1,0000.png,53,13.30718994140625
0000_54.png,1,0000.png,54,2.593994140625
0000_55.png,1,0000.png,55,0.64544677734375
0000_56.png,1,0000.png,56,4.81109619140625
0000_57.png,1,0000.png,57,11.7919921875
0000_58.png,1,0000.png,58,23.89678955078125
0000_59.png,1,0000.png,59,13.79852294921875
0000_60.png,1,0000.png,60,1.275634765625
0000_61.png,1,0000.png,61,6.768798828125
0000_62.png,1,0000.png,62,8.29010009765625
0000_63.png,1,0000.png,63,12.786865234375
0000_64.png,1,0000.png,64,16.790771484375
0000_65.png,1,0000.png,65,8.70513916015625
0000_66.png,1,0000.png,66,0.33416748046875
0000_67.png,1,0000.png,67,5.59539794921875
0000_68.png,1,0000.png,68,12.9364013671875
0000_69.png,1,0000.png,69,17.07000732421875
0000_70.png,1,0000.png,70,17.73223876953125
0000_71.png,1,0000.png,71,3.826904296875
0000_72.png,1,0000.png,72,10.2142333984375
0000_73.png,1,0000.png,73,6.14776611328125
0000_74.png,1,0000.png,74,17.486572265625
0000_75.png,1,0000.png,75,15.814208984375
0000_76.png,1,0000.png,76,6.6009521484375
0000_77.png,1,0000.png,77,1.1077880859375
0000_78.png,1,0000.png,78,11.31591796875
0000_79.png,1,0000.png,79,21.4447021484375
0000_80.png,1,0000.png,80,14.51416015625
0000_81.png,1,0000.png,81,10.74371337890625
0000_82.png,1,0000.png,82,7.598876953125
0000_83.png,1,0000.png,83,13.65966796875
0000_84.png,1,0000.png,84,2.1759033203125
0000_85.png,1,0000.png,85,21.7681884765625
0000_86.png,1,0000.png,86,4.803466796875
0000_87.png,1,0000.png,87,0.48065185546875
0000_88.png,1,0000.png,88,2.42462158203125
0000_89.png,1,0000.png,89,8.23822021484375
0000_90.png,1,0000.png,90,13.18817138671875
0000_91.png,1,0000.png,91,9.8419189453125
0000_92.png,1,0000.png,92,4.28314208984375
0000_93.png,1,0000.png,93,4.4342041015625
0000_94.png,1,0000.png,94,12.07427978515625
